time,inlet-p
585,232325.44
586,232325.44
587,232325.44
588,232325.44
589,232325.44
590,232325.44
591,232325.44
592,232325.44
593,232325.44
594,232325.44
595,232325.44
596,225430.68
597,225430.68
598,225430.68
599,225430.68
600,225430.68
601,225430.68
602,225430.68
603,225430.68
604,225430.68
605,225430.68
606,225430.68
607,225430.68
608,225430.68
609,225430.68
610,225430.68
611,225430.68
612,225430.68
613,225430.68
614,225430.68
615,218535.92
616,218535.92
617,218535.92
618,218535.92
619,218535.92
620,218535.92
621,218535.92
622,218535.92
623,218535.92
624,218535.92
625,218535.92
626,218535.92
627,218535.92
628,218535.92
629,218535.92
630,218535.92
631,218535.92
632,218535.92
633,218535.92
634,218535.92
635,218535.92
636,211641.16
637,211641.16
638,211641.16
639,211641.16
640,211641.16
641,211641.16
642,211641.16
643,211641.16
644,211641.16
645,211641.16
646,211641.16
647,211641.16
648,211641.16
649,211641.16
650,211641.16
651,211641.16
652,211641.16
653,211641.16
654,211641.16
655,211641.16
656,211641.16
657,211641.16
658,204746.4
659,204746.4
660,204746.4
661,204746.4
662,204746.4
663,204746.4
664,204746.4
665,204746.4
666,204746.4
667,204746.4
668,204746.4
669,204746.4
670,204746.4
671,204746.4
672,204746.4
673,204746.4
674,204746.4
675,204746.4
676,204746.4
677,204746.4
678,204746.4
679,204746.4
680,204746.4
681,204746.4
682,204746.4
683,204746.4
684,204746.4
685,197851.64
686,197851.64
687,197851.64
688,197851.64
689,197851.64
690,197851.64
691,197851.64
692,197851.64
693,197851.64
694,197851.64
695,197851.64
696,197851.64
697,197851.64
698,197851.64
699,197851.64
700,197851.64
701,197851.64
702,197851.64
703,197851.64
704,197851.64
705,197851.64
706,197851.64
707,197851.64
708,197851.64
709,197851.64
710,190956.88
711,190956.88
712,190956.88
713,190956.88
714,190956.88
715,190956.88
716,190956.88
717,190956.88
718,190956.88
719,190956.88
720,190956.88
721,190956.88
722,190956.88
723,190956.88
724,190956.88
725,190956.88
726,190956.88
727,190956.88
728,190956.88
729,190956.88
730,190956.88
731,190956.88
732,190956.88
733,190956.88
734,190956.88
735,190956.88
736,190956.88
737,190956.88
738,190956.88
739,190956.88
740,184062.12
741,184062.12
742,184062.12
743,184062.12
744,184062.12
745,184062.12
746,184062.12
747,184062.12
748,184062.12
749,184062.12
750,184062.12
751,184062.12
752,184062.12
753,184062.12
754,184062.12
755,184062.12
756,184062.12
757,184062.12
758,184062.12
759,184062.12
760,184062.12
761,184062.12
762,184062.12
763,184062.12
764,184062.12
765,184062.12
766,184062.12
767,184062.12
768,184062.12
769,184062.12
770,184062.12
771,184062.12
772,177167.36
773,177167.36
774,177167.36
775,177167.36
776,177167.36
777,177167.36
778,177167.36
779,177167.36
780,177167.36
781,177167.36
782,177167.36
783,177167.36
784,177167.36
785,177167.36
786,177167.36
787,177167.36
788,177167.36
789,177167.36
790,177167.36
791,177167.36
792,177167.36
793,177167.36
794,177167.36
795,177167.36
796,177167.36
797,177167.36
798,177167.36
799,177167.36
800,177167.36
801,177167.36
802,177167.36
803,177167.36
804,177167.36
805,177167.36
806,177167.36
807,177167.36
808,177167.36
809,177167.36
810,170272.6
811,170272.6
812,170272.6
813,170272.6
814,170272.6
815,170272.6
816,170272.6
817,170272.6
818,170272.6
819,170272.6
820,170272.6
821,170272.6
822,170272.6
823,170272.6
824,170272.6
825,170272.6
826,170272.6
827,170272.6
828,170272.6
829,170272.6
830,170272.6
831,170272.6
832,170272.6
833,170272.6
834,170272.6
835,170272.6
