time,Re,inlet-p,outlet-p,time
12.2,8.6189466107956,1189095.5227826,101325,12.2
12.3,8.4963555716792,1180709.6890536,101325,12.3
12.4,8.3760588463123,1172421.8238773,101325,12.4
12.5,8.2580010659469,1164230.1803692,101325,12.5
12.6,8.1421288956815,1156133.0816144,101325,12.6
12.7,8.0283908997205,1148128.9147717,101325,12.7
12.8,7.9167374193697,1140216.1257667,101325,12.8
12.9,7.8071204626213,1132393.2145296,101325,12.9
13,7.6994936042031,1124658.7307291,101325,13
13.1,7.5938118950235,1117011.2699534,101325,13.1
13.2,7.4900317800197,1109449.4702956,101325,13.2
13.3,7.3881110235025,1101972.0092977,101325,13.3
13.4,7.2880086411777,1094577.601217,101325,13.4
13.5,7.1896848381096,1087264.9945781,101325,13.5
13.6,7.0931009519684,1080032.969978,101325,13.6
13.7,6.9982194009822,1072880.3381177,101325,13.7
13.8,6.9050036360749,1065805.9380322,101325,13.8
13.9,6.8134180967352,1058808.6354979,101325,13.9
14,6.723428170216,1051887.3215968,101325,14
14.1,6.6350001537067,1045040.9114197,101325,14.1
14.2,6.5481012191694,1038268.3428917,101325,14.2
14.3,6.4626993805605,1031568.5757081,101325,14.3
14.4,6.3787634631984,1024940.5903657,101325,14.4
14.5,6.2962630750607,1018383.3872813,101325,14.5
14.6,6.2151685798239,1011895.985986,101325,14.6
14.7,6.1354510714794,1005477.4243869,101325,14.7
14.8,6.0570823503772,999126.75809083,101325,14.8
14.9,5.9800349005686,992843.05977989,101325,14.9
15,5.9042818683317,986625.41863668,101325,15
15.1,5.8297970417788,980472.93981158,101325,15.1
15.2,5.7565548314527,974384.74392863,101325,15.2
15.3,5.684530251834,968359.96662569,101325,15.3
15.4,5.6136989036848,962397.75812548,101325,15.4
15.5,5.5440369571666,956497.28283412,101325,15.5
15.6,5.4755211356744,950657.71896468,101325,15.6
15.7,5.4081287003345,944878.25818299,101325,15.7
15.8,5.3418374351221,939158.10527374,101325,15.8
15.9,5.2766256325552,933496.47782479,101325,15.9
16,5.2124720799285,927892.60592807,101325,16
16.1,5.1493560460533,922345.73189537,101325,16.1
16.2,5.0872572684726,916855.10998792,101325,16.2
16.3,5.0261559411242,911420.00615827,101325,16.3
16.4,4.9660327024263,906039.69780355,101325,16.4
16.5,4.9068686237621,900713.47352916,101325,16.5
16.6,4.8486451983436,895440.63292186,101325,16.6
16.7,4.7913443304343,890220.48633175,101325,16.7
16.8,4.734948324914,885052.35466215,101325,16.8
16.9,4.679439877168,879935.56916706,101325,16.9
17,4.6248020632878,874869.47125545,101325,17
17.1,4.5710183305681,869853.41230189,101325,17.1
17.2,4.5180724882867,864886.75346325,101325,17.2
17.3,4.4659486987573,859968.86550083,101325,17.3
17.4,4.4146314686417,855099.12860772,101325,17.4
17.5,4.3641056405134,850276.93224106,101325,17.5
17.6,4.3143563846607,845501.67495881,101325,17.6
17.7,4.2653691911215,840772.76426083,101325,17.7
17.8,4.2171298619411,836089.61643402,101325,17.8
17.9,4.1696245036441,831451.65640136,101325,17.9
18,4.1228395199144,826858.31757447,101325,18
18.1,4.0767616044736,822309.04170977,101325,18.1
18.2,4.0313777341538,817803.27876779,101325,18.2
18.3,3.9866751621563,813340.48677578,101325,18.3
18.4,3.942641411491,808920.1316932,101325,18.4
18.5,3.8992642685899,804541.68728014,101325,18.5
18.6,3.8565317770902,800204.63496853,101325,18.6
18.7,3.8144322317805,795908.46373594,101325,18.7
18.8,3.7729541727062,791652.669982,101325,18.8
18.9,3.7320863794278,787436.75740725,101325,18.9
19,3.691817865429,783260.23689439,101325,19
19.1,3.6521378726688,779122.62639179,101325,19.1
