time,CT13_1000_1,CT13_1000_2,CT13_1000_3,CT13_800_1,CT13_800_2,CT13_800_3,CT13_600_1,CT13_600_2,CT13_600_3,CT13_600_4,CT13_600_5,CT13_600_6
94,459813,142689,135795,115113,108219,108219,101325,101325,101325,101325,101325,108219
95,446025,142689,135795,115113,108219,108219,101325,101325,101325,101325,101325,101325
96,439131,142689,128901,115113,108219,108219,101325,101325,101325,101325,101325,101325
97,425343,135795,128901,115113,101325,108219,101325,101325,101325,101325,101325,101325
98,411555,135795,128901,115113,101325,101325,101325,101325,101325,101325,101325,101325
99,404661,128901,122007,108219,101325,101325,101325,101325,101325,101325,101325,101325
100,390873,128901,122007,108219,101325,101325,101325,101325,101325,101325,101325,101325
101,383979,128901,122007,108219,101325,101325,101325,101325,101325,101325,101325,101325
102,370191,122007,115113,108219,101325,101325,101325,101325,101325,101325,101325,101325
103,363297,122007,115113,108219,101325,101325,101325,101325,101325,101325,101325,101325
104,349509,122007,115113,108219,101325,101325,101325,101325,101325,101325,101325,101325
105,342615,122007,115113,108219,101325,101325,101325,101325,101325,101325,101325,101325
106,335721,115113,115113,108219,101325,101325,101325,101325,101325,101325,101325,101325
107,321933,115113,108219,108219,101325,101325,101325,101325,101325,101325,101325,101325
108,315039,115113,108219,108219,101325,101325,101325,101325,101325,101325,101325,101325
109,308145,115113,108219,108219,101325,101325,101325,101325,101325,101325,101325,101325
110,301251,115113,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325
111,294357,108219,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325
112,287463,108219,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325
113,280569,108219,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325
114,266781,108219,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325
115,259887,108219,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325
116,259887,108219,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325
117,252993,108219,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325
118,246099,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
119,239205,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
120,232311,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
121,225417,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
122,218523,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
123,218523,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
124,211629,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
125,204735,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
126,197841,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
127,197841,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
128,190947,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
129,190947,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
130,184053,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
131,177159,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
132,177159,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
133,170265,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
134,170265,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
135,163371,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
136,163371,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
137,156477,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
138,156477,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
139,149583,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
140,149583,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
141,149583,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
142,142689,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
143,142689,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
144,142689,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
145,135795,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
146,135795,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
147,135795,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
148,128901,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
149,128901,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
150,128901,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
151,128901,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
152,122007,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
153,122007,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
154,122007,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
155,122007,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
156,115113,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
157,115113,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
158,115113,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
159,115113,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
160,115113,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
161,115113,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
162,115113,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
163,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
164,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
165,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
166,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
167,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
168,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
169,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
170,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
171,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
172,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
173,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
174,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
175,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
176,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
177,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
178,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
179,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
180,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
181,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
182,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
183,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
184,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
185,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
186,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
187,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
188,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
189,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
190,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
191,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
192,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
193,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
194,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
195,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
196,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
197,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
198,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
199,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
200,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
201,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
202,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
203,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
204,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
205,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
206,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
207,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
208,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
209,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
210,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
211,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
212,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
213,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
214,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
215,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
216,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
217,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
218,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
220,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
221,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
222,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
223,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
224,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
225,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
226,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
227,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
228,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
229,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
230,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
231,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
232,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
233,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
234,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
235,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
236,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
237,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
238,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
239,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
240,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
241,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
242,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
243,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
244,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
245,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
246,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
247,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
248,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
249,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
250,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
251,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
252,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
253,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
254,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
255,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
256,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
257,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
258,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
259,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
260,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
261,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
262,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
