time,CT6_1000_1,CT6_1000_2,CT6_1000_3,CT6_600_1,CT6_600_2,CT6_600_3,CT6_800_1,CT6_800_2,CT6_800_3
153,246099,266781,287463,225417,225417,232311,259887,259887,266781
154,239205,266781,287463,225417,225417,225417,252993,259887,266781
155,239205,266781,280569,218523,218523,225417,252993,259887,259887
156,232311,259887,273675,218523,218523,218523,252993,252993,252993
157,225417,252993,273675,218523,218523,218523,246099,252993,252993
158,225417,252993,266781,211629,211629,218523,246099,246099,246099
159,225417,246099,266781,211629,211629,211629,239205,239205,246099
160,218523,246099,259887,211629,211629,211629,239205,239205,246099
161,218523,246099,252993,204735,204735,204735,232311,239205,239205
162,211629,239205,252993,204735,204735,204735,232311,232311,239205
163,211629,239205,252993,197841,197841,204735,225417,232311,232311
164,211629,232311,246099,197841,197841,197841,225417,225417,232311
165,204735,225417,246099,197841,197841,197841,225417,225417,232311
166,204735,225417,239205,190947,190947,190947,218523,225417,225417
167,197841,225417,232311,190947,190947,190947,218523,218523,225417
168,197841,218523,232311,190947,190947,190947,218523,218523,218523
169,197841,218523,225417,184053,184053,184053,211629,211629,218523
170,190947,211629,225417,184053,184053,184053,211629,211629,211629
171,190947,211629,225417,184053,184053,184053,204735,211629,211629
172,184053,211629,225417,177159,177159,184053,204735,204735,211629
173,184053,204735,218523,177159,177159,177159,204735,204735,204735
174,184053,204735,218523,177159,177159,177159,197841,204735,204735
175,177159,204735,211629,177159,177159,177159,197841,197841,204735
176,177159,197841,211629,170265,170265,170265,197841,197841,197841
177,177159,197841,211629,170265,170265,170265,190947,190947,197841
178,170265,190947,204735,170265,170265,170265,190947,190947,190947
179,170265,190947,204735,170265,170265,170265,190947,190947,190947
180,170265,190947,197841,163371,163371,163371,184053,184053,190947
181,163371,184053,197841,163371,163371,163371,184053,184053,184053
182,163371,184053,197841,163371,163371,163371,184053,184053,184053
183,163371,184053,190947,163371,163371,163371,177159,184053,184053
184,163371,177159,190947,156477,156477,156477,177159,177159,184053
185,156477,177159,190947,156477,156477,156477,177159,177159,177159
186,156477,177159,184053,156477,156477,156477,170265,177159,177159
187,156477,177159,184053,156477,156477,156477,170265,170265,177159
188,156477,170265,184053,149583,149583,156477,170265,170265,170265
189,149583,170265,177159,149583,149583,149583,170265,170265,170265
190,149583,170265,177159,149583,149583,149583,163371,170265,170265
191,149583,163371,177159,149583,149583,149583,163371,163371,170265
192,149583,163371,177159,149583,149583,149583,163371,163371,163371
193,142689,163371,170265,149583,149583,149583,163371,163371,163371
194,142689,163371,170265,142689,142689,142689,156477,163371,163371
195,142689,156477,170265,142689,142689,142689,156477,156477,163371
196,142689,156477,170265,142689,142689,142689,156477,156477,156477
197,142689,156477,163371,142689,142689,142689,156477,156477,156477
198,135795,156477,163371,142689,142689,142689,156477,156477,156477
199,135795,156477,163371,135795,142689,142689,149583,156477,156477
200,135795,149583,163371,135795,135795,135795,149583,149583,156477
201,135795,149583,156477,135795,135795,135795,149583,149583,149583
202,135795,149583,156477,135795,135795,135795,149583,149583,149583
203,135795,149583,156477,135795,135795,135795,149583,149583,149583
204,128901,149583,156477,135795,135795,135795,142689,149583,149583
205,128901,142689,149583,135795,135795,135795,142689,142689,149583
206,128901,142689,149583,135795,135795,135795,142689,142689,142689
207,128901,142689,149583,128901,128901,128901,142689,142689,142689
208,128901,142689,149583,128901,128901,128901,142689,142689,142689
209,128901,142689,149583,128901,128901,128901,142689,142689,142689
210,128901,135795,149583,128901,128901,128901,135795,142689,142689
211,122007,135795,142689,128901,128901,128901,135795,135795,142689
