particle_diameter_1,particle_diameter_2
0.000663421052631579,2.368421052631579e-07
0.000663421052631579,2.736842105263158e-07
0.000663421052631579,3.1052631578947366e-07
0.000663421052631579,3.4736842105263157e-07
0.000663421052631579,3.8421052631578947e-07
0.000663421052631579,4.2105263157894733e-07
0.000663421052631579,4.5789473684210523e-07
0.000663421052631579,4.947368421052631e-07
0.000663421052631579,5.315789473684211e-07
0.000663421052631579,5.68421052631579e-07
0.000663421052631579,6.052631578947368e-07
0.000663421052631579,6.421052631578947e-07
0.000663421052631579,6.789473684210526e-07
0.000663421052631579,7.157894736842105e-07
0.000663421052631579,7.526315789473684e-07
0.000663421052631579,7.894736842105263e-07
0.000663421052631579,8.263157894736841e-07
0.000663421052631579,8.631578947368421e-07
0.000663421052631579,9e-07
0.0007,2e-07
0.0007,2.368421052631579e-07
0.0007,2.736842105263158e-07
0.0007,3.1052631578947366e-07
0.0007,3.4736842105263157e-07
0.0007,3.8421052631578947e-07
0.0007,4.2105263157894733e-07
0.0007,4.5789473684210523e-07
0.0007,4.947368421052631e-07
0.0007,5.315789473684211e-07
0.0007,5.68421052631579e-07
0.0007,6.052631578947368e-07
0.0007,6.421052631578947e-07
0.0007,6.789473684210526e-07
0.0007,7.157894736842105e-07
0.0007,7.526315789473684e-07
0.0007,7.894736842105263e-07
0.0007,8.263157894736841e-07
0.0007,8.631578947368421e-07
0.0007,9e-07
