time,CT4_600_1,CT4_600_2,CT4_600_3,CT4_800_1,CT4_800_2,CT4_800_3,CT4_1000_1,CT4_1000_2
254,246099,273675,308145,583905,577011,604587,701103,728679
255,246099,273675,308145,577011,577011,597693,694209,721785
256,246099,273675,308145,577011,570117,597693,694209,721785
257,246099,273675,308145,577011,570117,590799,687315,714891
258,239205,266781,308145,570117,570117,590799,680421,707997
259,239205,266781,301251,570117,563223,590799,680421,707997
260,239205,266781,301251,563223,563223,583905,680421,701103
261,239205,266781,301251,563223,563223,583905,673527,701103
262,239205,266781,301251,563223,556329,577011,673527,701103
263,239205,266781,301251,556329,556329,577011,673527,694209
264,232311,259887,294357,556329,556329,577011,666633,694209
265,232311,259887,294357,556329,549435,570117,666633,694209
266,232311,259887,294357,549435,549435,570117,666633,687315
267,232311,259887,294357,549435,549435,570117,659739,687315
268,232311,259887,294357,549435,542541,563223,659739,687315
269,232311,259887,294357,542541,542541,563223,652845,680421
270,232311,252993,287463,542541,535647,563223,652845,680421
271,225417,252993,287463,542541,535647,556329,652845,673527
272,225417,252993,287463,535647,535647,556329,645951,673527
273,225417,252993,287463,535647,535647,556329,645951,666633
274,225417,252993,287463,535647,528753,549435,639057,666633
275,225417,252993,280569,528753,528753,549435,639057,666633
276,225417,246099,280569,528753,528753,549435,639057,659739
277,225417,246099,280569,528753,521859,542541,632163,659739
278,225417,246099,280569,521859,521859,542541,632163,652845
279,218523,246099,280569,521859,521859,542541,632163,652845
280,218523,246099,280569,521859,514965,535647,625269,652845
281,218523,246099,273675,514965,514965,535647,625269,645951
282,218523,246099,273675,514965,514965,535647,618375,645951
283,218523,239205,273675,514965,508071,528753,618375,645951
284,218523,239205,273675,508071,508071,528753,618375,639057
285,218523,239205,273675,508071,508071,528753,611481,639057
286,218523,239205,273675,508071,508071,521859,611481,632163
287,211629,239205,273675,508071,501177,521859,611481,632163
288,211629,239205,266781,501177,501177,521859,604587,632163
289,211629,239205,266781,501177,501177,514965,604587,625269
290,211629,232311,266781,501177,494283,514965,604587,625269
