time,inlet-p,outlet-p
13.7,1162206.8453954,101325
13.8,1155429.8916477,101325
13.9,1148717.3935918,101325
14,1142068.3993221,101325
14.1,1135481.9906205,101325
14.2,1128957.2804964,101325
14.3,1122493.4109306,101325
14.4,1116089.5508097,101325
14.5,1109744.8940393,101325
14.6,1103458.6578214,101325
14.7,1097230.0810856,101325
14.8,1091058.4230584,101325
14.9,1084942.9619603,101325
15,1078882.9938199,101325
15.1,1072877.8313921,101325
15.2,1066926.8031734,101325
15.3,1061029.2525035,101325
15.4,1055184.536746,101325
15.5,1049392.0265395,101325
15.6,1043651.1051145,101325
15.7,1037961.1676675,101325
15.8,1032321.6207883,101325
15.9,1026731.8819352,101325
16,1021191.3789527,101325
16.1,1015699.5496294,101325
16.2,1010255.8412899,101325
16.3,1004859.7104194,101325
16.4,999510.62231754,101325
16.5,994208.05077802,101325
16.6,988951.47779195,101325
16.7,983740.39327315,101325
16.8,978574.29480285,101325
16.9,973452.68739215,101325
17,968375.08326074,101325
17.1,963341.00163019,101325
17.2,958349.96853071,101325
17.3,953401.51662007,101325
17.4,948495.18501357,101325
17.5,943630.51912418,101325
17.6,938807.07051188,101325
17.7,934024.39674152,101325
17.8,929282.06124829,101325
17.9,924579.63321036,101325
18,919916.68742793,101325
18.1,915292.80420827,101325
18.2,910707.56925622,101325
18.3,906160.57356966,101325
18.4,901651.41333966,101325
18.5,897179.68985484,101325
18.6,892745.00940975,101325
18.7,888346.98321672,101325
18.8,883985.22732127,101325
18.9,879659.36252049,101325
19,875369.01428433,101325
19.1,871113.81267969,101325
19.2,866893.39229685,101325
19.3,862707.39217831,101325
19.4,858555.45574985,101325
19.5,854437.23075355,101325
19.6,850352.36918271,101325
19.7,846300.52721866,101325
19.8,842281.36516911,101325
19.9,838294.54740818,101325
20,834339.74231792,101325
20.1,830416.62223114,101325
20.2,826524.86337571,101325
20.3,822664.14582001,101325
20.4,818834.15341963,101325
20.5,815034.57376521,101325
20.6,811265.09813133,101325
20.7,807525.75805224,101325
20.8,803815.91009033,101325
20.9,800135.25635591,101325
21,796483.50244754,101325
21.1,792860.35740568,101325
21.2,789265.53366719,101325
21.3,785698.74702066,101325
21.4,782159.71656245,101325
21.5,778648.16465355,101325
21.6,775163.81687713,101325
21.7,771706.40199676,101325
21.8,768275.6519154,101325
21.9,764871.30163491,101325
22,761493.0892163,101325
22.1,758140.75574055,101325
22.2,754814.04527004,101325
22.3,751512.70481056,101325
22.4,748236.48427389,101325
22.5,744985.13644095,101325
22.6,741758.41692545,101325
22.7,738556.08413808,101325
22.8,735377.8992513,101325
22.9,732223.62616448,101325
23,729093.03146965,101325
23.1,725985.88441774,101325
23.2,722901.95688517,101325
23.3,719841.02334106,101325
23.4,716802.86081479,101325
23.5,713787.24886405,101325
23.6,710793.9695433,101325
23.7,707822.80737271,101325
23.8,704873.54930742,101325
23.9,701945.98470738,101325
24,699039.9053074,101325
24.1,696155.10518779,101325
24.2,693291.38074522,101325
24.3,690448.53066412,101325
24.4,687626.35588836,101325
24.5,684824.65959335,101325
24.6,682043.24715847,101325
24.7,679281.92613995,101325
24.8,676540.50624397,101325
24.9,673818.79930025,101325
25,671116.61923592,101325
25.1,668433.78204971,101325
25.2,665770.10578654,101325
25.3,663125.41051238,101325
25.4,660499.51828951,101325
25.5,657892.253152,101325
25.6,655303.44108161,101325
25.7,652732.90998397,101325
25.8,650180.48966499,101325
25.9,647646.01180775,101325
26,645129.30994948,101325
26.1,642630.219459,101325
26.2,640148.57751441,101325
26.3,637684.22308097,101325
26.4,635236.99688945,101325
26.5,632806.74141457,101325
26.6,630393.30085385,101325
26.7,627996.52110669,101325
26.8,625616.24975368,101325
26.9,623252.33603622,101325
27,620904.63083644,101325
27.1,618572.98665726,101325
27.2,616257.25760283,101325
27.3,613957.29935914,101325
27.4,611672.96917494,101325
27.5,609404.12584281,101325
27.6,607150.62968061,101325
27.7,604912.34251303,101325
27.8,602689.12765348,101325
27.9,600480.84988614,101325
28,598287.37544829,101325
28.1,596108.57201285,101325
28.2,593944.3086711,101325
28.3,591794.45591572,101325
28.4,589658.88562394,101325
28.5,587537.47104097,101325
28.6,585430.08676361,101325
28.7,583336.60872412,101325
28.8,581256.91417422,101325
28.9,579190.88166934,101325
29,577138.39105308,101325
29.1,575099.32344185,101325
29.2,573073.56120967,101325
29.3,571060.98797327,101325
29.4,569061.48857725,101325
29.5,567074.94907951,101325
29.6,565101.25673687,101325
29.7,563140.29999082,101325
29.8,561191.96845347,101325
29.9,559256.15289372,101325
30,557332.74522357,101325
