time,CT1_600_1,CT1_800_1,CT1_1000_1,CT1_1000_2,CT1_800_2,CT1_600_2,CT1_1000_3,CT1_1000_4,CT1_1000_5,CT1_1000_6,CT1_1000_7,CT1_600_3
46,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,383979
47,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,363297
48,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,349509
49,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,335721
50,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,321933
51,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,308145
52,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,294357
53,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,287463
54,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,273675
55,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,259887
56,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,252993
57,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,246099
58,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,232311
59,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,225417
60,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,218523
61,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,211629
62,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,204735
63,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,197841
64,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,190947
65,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,184053
66,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,177159
67,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,177159
68,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,170265
69,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,163371
70,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,163371
71,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,156477
72,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,156477
73,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,156477
74,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,149583
75,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,142689
76,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,142689
77,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,135795
78,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,135795
79,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,135795
80,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,128901
81,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,128901
82,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,128901
83,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,128901
84,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,122007
85,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,122007
86,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,122007
87,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,122007
88,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,115113
89,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,115113
90,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,115113
91,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,115113
92,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,115113
93,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,108219
94,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,108219
95,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,108219
96,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,108219
97,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,108219
98,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,108219
99,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,108219
100,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,108219
101,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,108219
102,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,108219
103,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,108219
104,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,108219
105,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
106,,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
107,,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
108,,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
109,,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
110,,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
111,,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
