time,CT5_1000_3,CT5_800_1,CT5_800_2
303,2300511,1921341,1935129
304,2293617,1914447,1928235
305,2286723,1914447,1928235
306,2279829,1907553,1921341
307,2272935,1900659,1914447
308,2266041,1900659,1914447
309,2259147,1893765,1907553
310,2252253,1886871,1900659
311,2245359,1886871,1893765
312,2245359,1879977,1893765
313,2238465,1873083,1886871
314,2231571,1873083,1879977
315,2224677,1866189,1879977
316,2217783,1859295,1873083
317,2210889,1859295,1866189
318,2203995,1852401,1866189
319,2197101,1845507,1859295
320,2197101,1845507,1852401
321,2190207,1838613,1852401
322,2183313,1831719,1845507
323,2176419,1824825,1838613
324,2169525,1824825,1838613
325,2162631,1817931,1831719
326,2162631,1811037,1824825
327,2155737,1811037,1824825
328,2148843,1804143,1817931
329,2141949,1797249,1811037
330,2135055,1797249,1811037
331,2135055,1790355,1804143
332,2128161,1783461,1797249
333,2121267,1783461,1797249
334,2114373,1776567,1790355
335,2107479,1769673,1790355
336,2100585,1769673,1783461
337,2093691,1762779,1776567
338,2093691,1755885,1776567
339,2086797,1755885,1769673
340,2079903,1748991,1762779
341,2073009,1748991,1762779
342,2073009,1742097,1755885
343,2066115,1735203,1755885
344,2059221,1735203,1748991
345,2052327,1728309,1742097
346,2052327,1721415,1742097
347,2045433,1721415,1735203
348,2038539,1721415,1728309
349,2031645,1714521,1728309
350,2031645,1707627,1721415
351,2024751,1707627,1721415
352,2017857,1700733,1714521
353,2010963,1693839,1714521
354,2010963,1693839,1707627
355,2004069,1686945,1707627
356,1997175,1686945,1700733
357,1990281,1680051,1693839
358,1990281,1673157,1693839
359,1983387,1673157,1686945
360,1976493,1666263,1686945
361,1969599,1666263,1680051
362,1969599,1659369,1673157
363,1962705,1652475,1673157
364,1955811,1652475,1673157
365,1955811,1652475,1666263
366,1948917,1645581,1659369
367,1942023,1638687,1659369
368,1942023,1638687,1652475
369,1935129,1631793,1652475
370,1928235,1631793,1645581
371,1921341,1624899,1638687
372,1921341,1618005,1638687
373,1914447,1618005,1631793
374,1907553,1618005,1631793
375,1907553,1611111,1631793
376,1900659,1604217,1624899
377,1893765,1604217,1618005
378,1886871,1597323,1618005
379,1886871,1597323,1611111
380,1879977,1590429,1611111
381,1873083,1590429,1604217
382,1873083,1583535,1604217
383,1866189,1576641,1597323
384,1866189,1576641,1597323
385,1859295,1576641,1590429
386,1852401,1569747,1590429
387,1852401,1569747,1583535
388,1845507,1562853,1576641
389,1838613,1555959,1576641
390,1838613,1555959,1576641
391,1831719,1555959,1569747
392,1824825,1549065,1569747
393,1824825,1549065,1562853
394,1817931,1542171,1562853
395,1811037,1535277,1555959
396,1811037,1535277,1549065
397,1811037,1528383,1549065
398,1804143,1528383,1549065
399,1797249,1528383,1542171
400,1790355,1521489,1542171
401,1790355,1514595,1535277
402,1783461,1514595,1528383
403,1776567,1507701,1528383
404,1776567,1507701,1528383
405,1776567,1507701,1521489
406,1769673,1500807,1521489
407,1762779,1500807,1521489
408,1762779,1493913,1514595
409,1755885,1487019,1514595
410,1748991,1487019,1507701
411,1748991,1480125,1500807
412,1742097,1480125,1500807
